City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Pizarro,CO,2022-04-11 00:30:58,4.9533,-77.366,78.15,89,100,4.52,moderate rain
243,Middletown,US,2022-04-11 00:30:59,39.5151,-84.3983,58.35,35,0,11.5,clear sky
244,Warri,NG,2022-04-11 00:28:19,5.5167,5.75,78.39,89,45,4.47,scattered clouds
245,Keti Bandar,PK,2022-04-11 00:30:59,24.1447,67.4497,79.25,80,62,12.5,broken clouds
246,Rudbar,AF,2022-04-11 00:30:59,30.15,62.6,76.39,14,57,4.34,broken clouds
247,Chabahar,IR,2022-04-11 00:31:00,25.2919,60.643,81.23,54,5,7.52,clear sky
248,Feijo,BR,2022-04-11 00:31:00,-8.1642,-70.3536,71.96,99,100,2.21,overcast clouds
249,Saint-Pierre,RE,2022-04-11 00:31:00,-21.3393,55.4781,76.68,78,75,12.66,broken clouds
250,Itapaci,BR,2022-04-11 00:31:01,-14.9508,-49.5494,72.72,78,71,1.48,broken clouds
251,General Pico,AR,2022-04-11 00:31:01,-35.6566,-63.7568,60.12,96,57,10.45,broken clouds
252,Kralendijk,BQ,2022-04-11 00:30:36,12.15,-68.2667,80.58,78,40,16.11,scattered clouds
253,Road Town,VG,2022-04-11 00:29:39,18.4167,-64.6167,78.89,78,20,5.75,few clouds
254,Ostrovnoy,RU,2022-04-11 00:30:45,68.0531,39.5131,34.43,77,81,22.66,broken clouds
255,Viedma,AR,2022-04-11 00:29:45,-40.8135,-62.9967,56.79,52,100,4.25,overcast clouds
256,Raudeberg,NO,2022-04-11 00:31:02,61.9875,5.1352,35.87,82,81,16.37,broken clouds
257,Kapchorwa,UG,2022-04-11 00:31:03,1.3965,34.4509,59.54,63,43,4.05,scattered clouds
258,Sao Joao Da Barra,BR,2022-04-11 00:26:54,-21.6403,-41.0511,74.97,89,20,8.93,few clouds
